request_id,circuit_id,timestamp,status,guard_fingerprint,guard_nickname,guard_address,guard_country,middle_fingerprint,middle_nickname,middle_address,middle_country,exit_fingerprint,exit_nickname,exit_address,exit_country,build_time,purpose,guard_bandwidth,middle_bandwidth,exit_bandwidth,circuit_setup_duration,total_bytes
1,1000,2025-11-19T22:51:37.166785,BUILT,091C07ADA4613195D9AD106E4FE09027F4ECDEF9,GuardNode18,127.0.246.235,AT,0C1CB1262618C20267D06523CA9E04AC30B263FF,MiddleNode135,127.0.4.101,NL,F76497ACEEDCFE38DE24EEAA122EA042DC9A09C6,ExitNode14,127.0.57.163,SE,2025-11-19T22:51:36.803785,GENERAL,8203033,7904212,1879348,1.0966299128502317,558173
2,1001,2025-11-19T22:51:38.622256,BUILT,AAB2788AB226523D1639AFDED89CCD6C7C00A704,GuardNode72,127.0.87.81,GB,530251A2142C0AADBD0810692EBB9ECD9A616FD3,MiddleNode18,127.0.68.177,SE,7F42BBCE59BF0AF6B9AFB26E0B5EDF3D35147313,ExitNode7,127.0.113.187,CH,2025-11-19T22:51:38.031256,GENERAL,7771689,6032940,6692598,1.9582683080260295,593106
3,1002,2025-11-19T22:51:40.202553,BUILT,EEB0EC07F6EEF4BCA7BC0E237B3A0E3E4320CAA1,GuardNode40,127.0.18.127,GB,77567C064D58281AFD442698D9B3B21EBCE4BE09,MiddleNode54,127.0.95.181,JP,7F42BBCE59BF0AF6B9AFB26E0B5EDF3D35147313,ExitNode7,127.0.113.187,CH,2025-11-19T22:51:39.369553,GENERAL,7406442,2301138,6692598,2.0681548433306958,991771
4,1003,2025-11-19T22:51:40.834195,BUILT,A6B84889163CCCC194EA8258CB3AAB6250C1CF6D,GuardNode37,127.0.234.212,GB,35F61876F83379B27798822D296A173F79733849,MiddleNode86,127.0.57.180,AT,8CADE4EC7758DB256CDA62F01BC3842A4697246E,ExitNode18,127.0.65.72,CH,2025-11-19T22:51:40.148195,GENERAL,1853216,6308935,3197597,2.371840690803154,279642
5,1004,2025-11-19T22:51:40.466100,BUILT,B74BBFB3320C3BFAF77D36E0903712608B64F4AB,GuardNode77,127.0.22.246,NL,D1330EDB1CFD537AC33A2446BAAD04F7B396A922,MiddleNode89,127.0.235.142,NL,7F42BBCE59BF0AF6B9AFB26E0B5EDF3D35147313,ExitNode7,127.0.113.187,CH,2025-11-19T22:51:39.561100,GENERAL,5728211,2686406,6692598,2.3056037858897724,382289
6,1005,2025-11-19T22:51:45.348697,BUILT,5849D49501AA5BAE2D7B832C2A7D98ADBBCC09FF,GuardNode98,127.0.48.244,CA,7B71DCB85240D6EACE5CAACAB593898A3BC5FB89,MiddleNode76,127.0.15.227,NL,A0E27ED5A2993622955D5D6137BA617C75E23A39,ExitNode11,127.0.98.103,FR,2025-11-19T22:51:45.095697,GENERAL,9354642,9198429,2574125,1.0911360408517374,37367
7,1006,2025-11-19T22:51:47.175203,BUILT,15BDEBF43CFF1AA44EFABE62039AE5610013C27B,GuardNode26,127.0.220.189,SE,45097148658A6E147E0A12D148C48082E3C83870,MiddleNode78,127.0.244.40,SE,8B97DE046DC360EA0F5D9240D8E4C58AC542F18F,ExitNode16,127.0.215.218,GB,2025-11-19T22:51:46.452203,GENERAL,6961848,6732357,4592146,0.8608537450840814,15533
8,1007,2025-11-19T22:51:49.405389,BUILT,6734DA6F469DEEF4F4C5ADEC62808B206EB87AB4,GuardNode100,127.0.141.177,NL,81AF94BB81C48BBDE74293FE61864EB8BF36C302,MiddleNode62,127.0.212.158,SE,8B97DE046DC360EA0F5D9240D8E4C58AC542F18F,ExitNode16,127.0.215.218,GB,2025-11-19T22:51:48.610389,GENERAL,9041941,9199008,4592146,1.8080975855868664,493232
9,1008,2025-11-19T22:51:50.946470,BUILT,D5E3DE03FE05D5DDC108D7023D54705610A54584,GuardNode31,127.0.207.240,NL,46E8672B218B096F1AD4720024C53824E090CE2E,MiddleNode28,127.0.234.216,NL,23413EEC0CE2305B656A58BDC4846E51AF88DE22,ExitNode10,127.0.97.32,CH,2025-11-19T22:51:50.560470,GENERAL,4611571,6553351,5039697,0.5056268833763287,315348
10,1009,2025-11-19T22:51:42.693265,BUILT,1128A428F6417A20DBF7383CDF284CD26F70CD53,GuardNode95,127.0.175.122,DE,29BDD1290BEDD840BD6921F69D5754DA7F3E9EA2,MiddleNode124,127.0.208.35,CA,F9252A3417C96D0C7FA1540AEAD5D34E1204FBDF,ExitNode50,127.0.164.81,GB,2025-11-19T22:51:42.436265,GENERAL,6741014,8141553,2431937,2.256596684830582,296898
11,1010,2025-11-19T22:51:55.809825,BUILT,2E4AAAB0016D1149AAA699C5B874531CCC498365,GuardNode52,127.0.187.252,CH,08C0888EC9B05E31633BB58683A6C0AA662B2363,MiddleNode85,127.0.119.20,SE,1834F603F5301D4D8E3EC79CFB056AF6CD4C5B19,ExitNode37,127.0.253.215,SE,2025-11-19T22:51:55.330825,GENERAL,5425520,4942460,6861257,1.961115922258051,363575
12,1011,2025-11-19T22:51:58.399974,BUILT,2E4AAAB0016D1149AAA699C5B874531CCC498365,GuardNode52,127.0.187.252,CH,A73E44B9341092B0A6B3A70FEECBCB6A398F4E3B,MiddleNode102,127.0.103.178,DE,97E4EBFDA625CF78CA6C981FF42B2B2BE89DE521,ExitNode46,127.0.212.46,CH,2025-11-19T22:51:57.792974,GENERAL,5425520,8888542,9414098,1.1758511649399275,144431
13,1012,2025-11-19T22:52:00.193683,BUILT,AAB2788AB226523D1639AFDED89CCD6C7C00A704,GuardNode72,127.0.87.81,GB,66D503F8CCCBBBE576961CA82CA3503634BB9C35,MiddleNode95,127.0.53.133,AT,F76497ACEEDCFE38DE24EEAA122EA042DC9A09C6,ExitNode14,127.0.57.163,SE,2025-11-19T22:51:59.998683,GENERAL,7771689,7473542,1879348,2.0968446263904306,305948
14,1013,2025-11-19T22:51:52.908351,BUILT,E10B9F83229B05121EBB65B0718A94F400FB90E5,GuardNode42,127.0.14.139,GB,2C8841457C0045283444F5B163D89F71754EDF20,MiddleNode101,127.0.95.118,CH,D486C6FEEB41B559279B06C196E0FB6A51F7FE5B,ExitNode27,127.0.83.63,DE,2025-11-19T22:51:51.953351,GENERAL,3378469,7614805,9279745,1.7880463353084788,305674
15,1014,2025-11-19T22:51:55.474566,BUILT,80BBF8DFF94A623F0332EE9AA7D22C8F7BFDBD0E,GuardNode24,127.0.245.118,NL,F34ADCD847D53AB86749CE60921F4081344C2AC3,MiddleNode125,127.0.19.48,AT,DB99F0BF462910418997760193F05EB07CD627F5,ExitNode49,127.0.204.132,DE,2025-11-19T22:51:54.864566,GENERAL,4751491,3475498,1583376,0.802893363631104,389532
